id,Entity,Mentions,Year,category
1,Don,9,2017,sameDon
2,Trump,220,2017,sameTrump
3,Wildfires,20,2017,sameWildFire
4,Wildfires Destroy Their Homes,7,2017,sameWildFire
5,Wildfires Kill,15,2017,sameWildFire
6,Wildfires Spread,11,2017,sameWildFire
7,Armageddon,12,2017,diff
8,CA,13,2017,diff
9,Coffey Park,14,2017,diff
10,Diablo,15,2017,diff
11,DPRK,20,2017,diff
12,ENGEL BROMWICH,35,2017,diff
13,Henry Cejudo,21,2017,diff
14,Jemele Hill,107,2017,diff
15,Learn,14,2017,diff
16,Mike Pence,28,2017,diff
17,Photos Wildfires,9,2017,diff
18,Pres Trump,12,2017,diff
19,Santa Rosa California,11,2017,diff
20,Set,7,2017,diff
21,THOMAS FULLER JONAH,39,2017,diff
22,Trump Approves,8,2017,diff
23,Twitter,311,2017,diff
24,Wildfires Sweep Across Northern California,36,2017,diff
25,Wine Country  s,34,2017,diff
26,Cameron,77,2016,sameCa
27,Cameron s,26,2016,sameCa
28,Don,44,2016,sameDon
29,Don,40,2016,sameDon
30,Alan Kelly,55,2016,diff
31,Angela Merkel,23,2016,diff
32,Aston Martin,27,2016,diff
33,Boris,33,2016,diff
34,Boris Johnson,54,2016,diff
35,Check,23,2016,diff
36,Clontarf,36,2016,diff
37,Dave,30,2016,diff
38,David Cameron,52,2016,diff
39,Dil,229,2016,diff
40,Donald Tusk,150,2016,diff
41,Enda,119,2016,diff
42,Enda Kenny,191,2016,diff
43,Feb,51,2016,diff
44,Fine Gael,42,2016,diff
45,Gerry Adams,52,2016,diff
46,Gove,41,2016,diff
47,Herv Mariton,25,2016,diff
48,Irish Taoiseach,21,2016,diff
49,Joan,37,2016,diff
50,Joan Burton,77,2016,diff
51,John Wilson,30,2016,diff
52,Kildare North,35,2016,diff
53,Lawson,76,2016,diff
54,Marc Bolland,63,2016,diff
55,Michael,17,2016,diff
56,Michael D Higgins,48,2016,diff
57,Michael Gove,74,2016,diff
58,Nicky Morgan,18,2016,diff
59,Taoiseach,76,2016,diff
60,Voix du Nord,25,2016,diff
61,Your Mum,21,2016,diff
62,de Barcelona,46,2015,sameBar
63,de Barcelonnette,155,2015,sameBar
64,Alpes Haca,102,2015,diff
65,Atencin,102,2015,diff
66,Baldwin Lonsdale,93,2015,diff
67,Barcelona Dusseldorf,145,2015,diff
68,Bataclan,546,2015,diff
69,de Digne,181,2015,diff
70,de Germanwings,299,2015,diff
71,de Lufthansa,74,2015,diff
72,Digne,474,2015,diff
73,HORA Se,155,2015,diff
74,Jim,118,2015,diff
75,Menschen,51,2015,diff
76,Michael,166,2015,diff
77,Pam,110,2015,diff
78,Reach Affected,62,2015,diff
79,River Prima,337,2015,diff
80,Se,134,2015,diff
81,Speaks,71,2015,diff
82,Storm Wrecked,67,2015,diff
83,Toda la,49,2015,diff
84,Vuelo Barcelona Dusseldorf de la,73,2015,diff
85,Zeitung  La Provence  ,52,2015,diff
86,Don,29,2016,sameDon
87,Trump,278,2016,sameTrump
88,Bermuda,21,2018,diff
89,Gov Cooper,24,2018,diff
90,Jeff Duncan,250,2018,diff
91,Kavanaugh,129,2018,diff
92,Leslie,22,2018,diff
93,Leslie Becomes,29,2018,diff
94,Leslie Not,23,2018,diff
95,Oct  Operation Hurricane,172,2018,diff
96,Postseason,62,2018,diff
97,Standby,20,2018,diff
98,Threats,20,2018,diff
99,Trump Pres,198,2018,sameTrump
100,Don,17,2018,sameDon